sku,ever_succeeded,last_known_status,in_current_item_list,in_done_history,source,matched_url,amazon_url,ebay_url,has_sds,has_spec
MSF1200101,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200103,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1200105,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1200201,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200203,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1200205,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1200301,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200303,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1200305,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1200401,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200403,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1200405,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1200501,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200503,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1200505,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1200601,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200603,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1200605,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1200701,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200703,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1200705,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1200801,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200901,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1200903,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1200905,yes,SUCCESS,no,yes,miles,,,,yes,no
MSF1201001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1201003,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1201005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1201101,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1201103,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1201105,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1201201,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1201203,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1201205,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1201301,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1201303,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1201305,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1201401,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1201403,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1201405,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1201501,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1201503,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1201505,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1301001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1301005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1302001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1302005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1303001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1303005,yes,SUCCESS,no,yes,miles,,,,yes,no
MSF1304001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1304005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1305001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1306001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1307001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1308001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1401005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1402005,yes,SUCCESS,no,yes,miles,,,,yes,yes
